player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played
43263,2007,SYDNEY SWANS,FALSE,20,196,60,109,305,8,10,18,62,23,62,61,44,19,15,1,113,187,3,13,18,4,4,58,1284,1485,9.8,3,5.5,15.3,0.4,0.5,0.9,3.1,1.2,3.1,3.1,2.2,1,0.8,5.7,9.4,0.2,0.7,0.9,0.2,0.2,2.9,64.2,74.3
43263,2008,SYDNEY SWANS,FALSE,20,171,50,111,282,3,7,22,47,25,48,42,44,19,16,0,101,180,4,5,25,3,9,25,1091,1406,8.6,2.5,5.6,14.1,0.2,0.4,1.1,2.4,1.3,2.4,2.1,2.2,1,0.8,5.1,9,0.2,0.3,1.3,0.2,0.5,1.3,54.6,70.3
43263,2008,SYDNEY SWANS,TRUE,2,19,3,6,25,0,0,2,9,1,5,8,5,2,3,0,13,11,0,0,3,0,0,0,109,147,9.5,1.5,3,12.5,0,0,1,4.5,0.5,2.5,4,2.5,1,1.5,6.5,5.5,0,0,1.5,0,0,0,54.5,73.5
43263,2009,SYDNEY SWANS,FALSE,13,76,35,90,166,8,10,9,40,8,20,22,19,9,9,0,67,102,1,8,15,0,7,58,722,1026,5.8,2.7,6.9,12.8,0.6,0.8,0.7,3.1,0.6,1.5,1.7,1.5,0.7,0.7,5.2,7.8,0.1,0.6,1.2,0,0.5,4.5,55.5,78.9
43266,2023,Carlton Blues,FALSE,22,287,126,228,515,7,4,0,56,69,80,48,90,14,16,3,167,352,12,10,32,4,12,46,1931,1836,13,5.7,10.4,23.4,0.3,0.2,0,2.5,3.1,3.6,2.2,4.1,0.6,0.7,7.6,16,0.5,0.5,1.5,0.2,0.5,2.1,87.8,83.5
43266,2023,Carlton Blues,TRUE,3,32,11,29,61,3,1,0,6,2,10,9,11,1,0,0,21,40,1,2,10,0,0,19,231,272,10.7,3.7,9.7,20.3,1,0.3,0,2,0.7,3.3,3,3.7,0.3,0,7,13.3,0.3,0.7,3.3,0,0,6.3,77,90.7
43266,2024,Carlton Blues,FALSE,22,279,133,212,491,12,12,NULL,64,60,66,39,74,12,21,4,162,345,8,10,31,2,10,84,1949,1884,12.7,6,9.6,22.3,1.2,1.1,NULL,3,2.9,3.1,2.1,3.7,1.2,1.6,7.4,15.7,1.6,1.3,1.9,1,1.3,3.8,88.6,85.6
43266,2024,Carlton Blues,TRUE,1,14,5,11,25,1,NULL,NULL,NULL,2,8,2,4,1,2,NULL,7,20,NULL,1,1,NULL,NULL,6,80,85,14,5,11,25,1,NULL,NULL,NULL,2,8,2,4,1,2,7,20,NULL,1,1,NULL,NULL,6,80,85
43266,2025,Carlton Blues,FALSE,19,210,87,145,355,5,9,NULL,54,35,55,19,63,12,16,NULL,110,252,9,11,27,4,4,39,1400,1558,11.1,4.8,7.6,18.7,1,1.3,NULL,3,2.3,2.9,1.7,3.5,1.3,1.5,5.8,13.3,1.3,1.4,1.8,1,1.3,2.1,73.7,82
43267,2016,Western Bulldogs,FALSE,11,95,63,84,179,0,2,0,25,30,10,2,20,13,7,2,68,111,16,0,74,1,1,2,736,1042,8.6,5.7,7.6,16.3,0,0.2,0,2.3,2.7,0.9,0.2,1.8,1.2,0.6,6.2,10.1,1.5,0,6.7,0.1,0.1,0.2,66.9,94.7
