id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
11015,Carlton Blues,15,1995-07-15,1995,H,Adelaide Crows,4.2 8.7 16.11 20.13,133,4.2 11.4 13.7 15.10,100,W,33,Princes Park,22543,20,13,15,10
11016,Carlton Blues,16,1995-07-23,1995,A,Collingwood Magpies,6.6 8.9 12.13 12.18,90,2.2 5.4 9.7 10.8,68,W,22,Melbourne Cricket Ground,78934,12,18,10,8
11017,Carlton Blues,17,1995-07-30,1995,H,Fitzroy Lions,6.4 10.9 16.14 24.17,161,0.3 4.6 4.9 9.10,64,W,97,Waverley Park,15567,24,17,9,10
11018,Carlton Blues,18,1995-08-06,1995,H,Western Bulldogs,4.2 8.6 12.9 15.16,106,3.2 5.7 9.13 11.15,81,W,25,Princes Park,24084,15,16,11,15
11020,Carlton Blues,20,1995-08-19,1995,H,North Melbourne Kangaroos,6.5 10.9 15.12 18.14,122,1.2 5.5 9.10 15.13,103,W,19,Princes Park,32065,18,14,15,13
11021,Carlton Blues,21,1995-08-27,1995,A,West Coast Eagles,4.3 9.7 11.11 15.15,105,6.1 11.1 12.6 16.8,104,W,1,Domain Stadium,41705,15,15,16,8
11025,Carlton Blues,GF,1995-09-30,1995,H,Geelong Cats,4.5 10.8 16.11 21.15,141,2.4 3.10 6.12 11.14,80,W,61,Melbourne Cricket Ground,93670,21,15,11,14
11026,Carlton Blues,1,1996-03-31,1996,A,Collingwood Magpies,5.3 9.6 14.11 16.13,109,2.2 6.7 9.13 12.15,87,W,22,Melbourne Cricket Ground,70152,16,13,12,15
11027,Carlton Blues,2,1996-04-07,1996,A,Essendon Bombers,2.4 7.5 12.9 15.11,101,2.4 4.7 6.9 10.12,72,W,29,Melbourne Cricket Ground,62207,15,11,10,12
11028,Carlton Blues,3,1996-04-14,1996,A,Fremantle Dockers,2.4 2.9 4.10 6.13,49,3.3 8.3 9.7 15.12,102,L,-53,Domain Stadium,22652,6,13,15,12
11031,Carlton Blues,6,1996-05-05,1996,H,Western Bulldogs,3.3 7.5 8.6 12.8,80,3.3 5.4 6.7 9.10,64,W,16,Melbourne Cricket Ground,31024,12,8,9,10
11032,Carlton Blues,7,1996-05-11,1996,H,Fitzroy Lions,3.6 8.11 12.13 18.17,125,1.3 2.4 5.9 8.14,62,W,63,Princes Park,16176,18,17,8,14
12351,Geelong Cats,3,1984-04-14,1984,A,Carlton Blues,2.3 11.6 16.9 19.12,126,2.1 9.3 12.7 15.7,97,W,29,Princes Park,28784,19,12,15,7
11035,Carlton Blues,10,1996-06-08,1996,A,Richmond Tigers,3.4 7.6 11.9 15.11,101,2.3 6.4 11.8 13.12,90,W,11,Melbourne Cricket Ground,59062,15,11,13,12
11037,Carlton Blues,12,1996-06-22,1996,A,Collingwood Magpies,3.2 6.5 11.10 17.14,116,4.5 10.7 12.9 14.11,95,W,21,Melbourne Cricket Ground,61448,17,14,14,11
11072,	Carlton Blues,1,1998-03-28,1998,H,Adelaide Crows,1.4 3.9 7.10 10.13,73,5.3 7.5 8.7 9.9,63,W,10,Princes Park,20957,10,13,9,9
11039,Carlton Blues,14,1996-07-05,1996,A,North Melbourne Kangaroos,4.2 7.4 8.8 13.11,89,4.5 9.7 15.12 21.18,144,L,-55,Melbourne Cricket Ground,68537,13,11,21,18
11040,Carlton Blues,15,1996-07-13,1996,H,Adelaide Crows,7.6 8.12 12.14 19.17,131,3.2 7.5 7.7 9.10,64,W,67,Princes Park,20102,19,17,9,10
11041,Carlton Blues,16,1996-07-20,1996,A,Hawthorn Hawks,1.0 3.2 5.6 7.7,49,5.0 9.4 9.6 15.8,98,L,-49,Waverley Park,28670,7,7,15,8
11042,Carlton Blues,17,1996-07-27,1996,A,Essendon Bombers,4.3 9.6 12.10 13.13,91,3.1 6.7 7.10 11.16,82,W,9,Melbourne Cricket Ground,65420,13,13,11,16
11043,Carlton Blues,18,1996-08-03,1996,H,Fremantle Dockers,4.1 10.4 16.4 23.7,145,3.6 3.10 6.16 11.18,84,W,61,Princes Park,15277,23,7,11,18
11047,Carlton Blues,22,1996-08-31,1996,A,Geelong Cats,4.3 9.5 13.8 16.11,107,1.2 3.5 5.8 9.11,65,W,42,"GMHBA Stadium
",27659,16,11,9,11
